2010.07.01 02:00:00;EUR;2;German Retail Sales m/m;-0.5%;0.5%;0.4%;;;
2010.07.01 02:30:00;AUD;2;Commodity Prices y/y;43.6%;;43.0%;;;
2010.07.01 03:15:00;EUR;2;Spanish Manufacturing PMI;51.5;;51.2;;;
2010.07.01 03:30:00;CHF;2;Manufacturing PMI;66.4;65.7;65.7;;;
2010.07.01 03:45:00;EUR;2;Italian Manufacturing PMI;54.0;53.9;54.3;;;
2010.07.01 03:50:00;EUR;1;French Final Manufacturing PMI;54.9;54.9;54.8;;;
2010.07.01 03:55:00;EUR;1;German Final Manufacturing PMI;58.1;58.1;58.4;;;
2010.07.01 04:00:00;EUR;1;Final Manufacturing PMI;55.6;55.6;55.6;;;
2010.07.01 04:30:00;GBP;3;Final Manufacturing PMI;58.0;57.6;57.5;;;
2010.07.01 04:30:00;GBP;2;BOE Credit Conditions Survey;;;;;;
2010.07.01 05:06:00;EUR;2;French 10-y Bond Auction;3.05|2.3;;3.04|3.5;;;
2010.07.01 07:30:00;USD;1;Challenger Job Cuts y/y;-65.1%;;-47.1%;;;
2010.07.01 07:30:00;CAD;0;Bank Holiday (All Day);;;;;;
2010.07.01 08:30:00;USD;3;Unemployment Claims;459K;454K;472K;;;
2010.07.01 10:00:00;USD;3;ISM Manufacturing PMI;59.7;58.9;56.2;;;
2010.07.01 10:00:00;USD;3;Pending Home Sales m/m;6.0%;-7.4%;-30.0%;;;
2010.07.01 10:00:00;USD;1;Construction Spending m/m;2.3%;-0.7%;-0.2%;;;
2010.07.01 10:00:00;USD;1;ISM Manufacturing Prices;77.5;72.2;57.0;;;
2010.07.01 10:30:00;USD;1;Natural Gas Storage;81B;65B;60B;;;
2010.07.01 10:30:00;USD;1;Total Vehicle Sales (All Day);11.6M;11.4M;11.1M;;;
2010.07.01 19:50:00;JPY;1;Monetary Base y/y;3.7%;3.8%;3.6%;;;
2010.07.02 03:00:00;EUR;2;Spanish Unemployment Change;-76.2K;;-83.8K;;;
2010.07.02 04:30:00;GBP;2;Construction PMI;58.5;58.6;58.4;;;
2010.07.02 05:00:00;EUR;2;Unemployment Rate;10.0%;10.1%;10.0%;;;
2010.07.02 05:00:00;EUR;1;Italian Monthly Unemployment Rate;8.7%;8.9%;8.7%;;;
2010.07.02 05:00:00;EUR;1;PPI m/m;1.0%;0.3%;0.3%;;;
2010.07.02 08:30:00;USD;3;Non-Farm Employment Change;433K;-106K;-125K;;;
2010.07.02 08:30:00;USD;3;Unemployment Rate;9.7%;9.8%;9.5%;;;
2010.07.02 08:30:00;USD;2;Average Hourly Earnings m/m;0.2%;0.1%;-0.1%;;;
2010.07.02 10:00:00;USD;2;Factory Orders m/m;1.0%;-0.5%;-1.4%;;;
2010.07.02 21:00:00;CNY;1;Non-Manufacturing PMI;62.7;;57.4;;;
2010.07.04 19:30:00;AUD;2;AIG Services Index;47.5;;48.8;;;
2010.07.04 20:30:00;AUD;1;MI Inflation Gauge m/m;0.5%;;0.3%;;;
2010.07.04 21:30:00;AUD;3;ANZ Job Advertisements m/m;2.7%;;2.7%;;;
2010.07.05 03:15:00;CHF;3;Retail Sales y/y;1.3%;2.7%;3.8%;;;
2010.07.05 03:15:00;EUR;1;Spanish Services PMI;52.3;;51.8;;;
2010.07.05 03:45:00;EUR;1;Italian Services PMI;53.7;53.6;51.5;;;
2010.07.05 03:50:00;EUR;1;French Final Services PMI;61.6;61.6;60.8;;;
2010.07.05 03:55:00;EUR;1;German Final Services PMI;54.6;54.6;54.8;;;
2010.07.05 04:00:00;EUR;1;Final Services PMI;55.4;55.4;55.5;;;
2010.07.05 04:30:00;EUR;1;Sentix Investor Confidence;-4.1;-4.5;-1.3;;;
2010.07.05 04:30:00;GBP;3;Final Services PMI;55.4;55.1;54.4;;;
2010.07.05 05:00:00;EUR;2;Retail Sales m/m;-0.9%;0.1%;0.2%;;;
2010.07.05 05:00:00;USD;0;Bank Holiday (All Day);;;;;;
2010.07.05 18:00:00;NZD;3;NZIER Business Confidence;22;;18;;;
2010.07.05 21:30:00;AUD;3;Trade Balance;1.12B;0.53B;1.65B;;;
2010.07.05 23:45:00;JPY;1;10-y Bond Auction;1.28|3.9;;1.12|2.8;;;
2010.07.06 00:30:00;AUD;3;Cash Rate;4.50%;4.50%;4.50%;;;
2010.07.06 00:30:00;AUD;3;RBA Rate Statement;;;;;;
2010.07.06 01:00:00;JPY;1;Leading Indicators;101.7%;99.7%;98.7%;;;
2010.07.06 03:00:00;CHF;3;Foreign Currency Reserves;232B;;225B;;;
2010.07.06 03:15:00;CHF;2;CPI m/m;-0.1%;0.1%;-0.4%;;;
2010.07.06 05:37:00;GBP;2;10-y Bond Auction;3.63|1.9;;3.47|2.5;;;
2010.07.06 08:30:00;CAD;3;Building Permits m/m;5.9%;-1.3%;-10.8%;;;
2010.07.06 10:00:00;USD;3;ISM Services PMI;55.4;55.1;53.8;;;
2010.07.06 10:30:00;NZD;1;GDT Price Index;-2.7%;;-14.0%;;;
2010.07.06 19:01:00;GBP;1;BRC Shop Price Index y/y;1.8%;;1.5%;;;
2010.07.06 19:28:00;AUD;1;AIG Construction Index;53.2;;46.4;;;
2010.07.07 02:45:00;EUR;1;French Trade Balance;-4.3B;-3.9B;-5.5B;;;
2010.07.07 05:00:00;EUR;1;Final GDP q/q;0.2%;0.2%;0.2%;;;
2010.07.07 05:05:00;EUR;2;German 10-y Bond Auction;2.67|1.6;;2.56|1.4;;;
2010.07.07 06:00:00;EUR;2;German Factory Orders m/m;3.2%;0.5%;-0.5%;;;
2010.07.07 10:00:00;CAD;3;Ivey PMI;62.7;64.1;58.9;;;
2010.07.07 19:50:00;JPY;2;Core Machinery Orders m/m;4.0%;-3.0%;-9.1%;;;
2010.07.07 19:50:00;JPY;1;Bank Lending y/y;-2.0%;;-2.0%;;;
2010.07.07 19:50:00;JPY;1;Current Account;1.38T;1.12T;0.90T;;;
2010.07.07 19:50:00;JPY;1;M2 Money Stock y/y;3.1%;3.1%;2.9%;;;
2010.07.07 21:30:00;AUD;3;Employment Change;22.8K;15.3K;45.9K;;;
2010.07.07 21:30:00;AUD;3;Unemployment Rate;5.1%;5.2%;5.1%;;;
2010.07.07 23:45:00;JPY;1;30-y Bond Auction;2.04|2.3;;1.95|4.1;;;
2010.07.08 01:00:00;JPY;1;Economy Watchers Sentiment;47.7;48.3;47.5;;;
2010.07.08 01:45:00;CHF;1;Unemployment Rate;4.0%;3.9%;3.9%;;;
2010.07.08 02:00:00;EUR;1;German Trade Balance;12.8B;13.4B;10.6B;;;
2010.07.08 02:00:00;JPY;1;Prelim Machine Tool Orders y/y;192.5%;;138.8%;;;
2010.07.08 02:45:00;EUR;1;French Gov Budget Balance;-56.2B;;-67.9B;;;
2010.07.08 04:00:00;GBP;3;Halifax HPI m/m;-0.5%;0.6%;-0.6%;;;
2010.07.08 04:30:00;GBP;3;Manufacturing Production m/m;-0.8%;0.4%;0.3%;;;
2010.07.08 04:30:00;GBP;1;Industrial Production m/m;-0.7%;0.4%;0.7%;;;
2010.07.08 06:00:00;EUR;2;German Industrial Production m/m;1.2%;0.8%;2.6%;;;
2010.07.08 07:00:00;GBP;3;Asset Purchase Facility;200B;200B;200B;;;
2010.07.08 07:00:00;GBP;3;Official Bank Rate;0.50%;0.50%;0.50%;;;
2010.07.08 07:45:00;EUR;3;Main Refinancing Rate;1.00%;1.00%;1.00%;;;
2010.07.08 08:30:00;CAD;2;NHPI m/m;0.3%;0.3%;0.3%;;;
2010.07.08 08:30:00;EUR;3;ECB Press Conference;;;;;;
2010.07.08 08:30:00;USD;3;Unemployment Claims;475K;461K;454K;;;
2010.07.08 10:00:00;GBP;2;NIESR GDP Estimate;0.9%;;0.7%;;;
2010.07.08 10:30:00;USD;1;Natural Gas Storage;60B;71B;78B;;;
2010.07.08 11:00:00;USD;2;Crude Oil Inventories;-2.0M;-1.8M;-5.0M;;;
2010.07.08 15:00:00;USD;1;Consumer Credit m/m;-14.9B;-1.9B;-9.1B;;;
2010.07.08 17:50:00;USD;2;Treasury Currency Report;;;;;;
2010.07.09 02:00:00;EUR;1;German Final CPI m/m;0.1%;0.1%;0.1%;;;
2010.07.09 02:45:00;EUR;2;French Industrial Production m/m;-0.5%;0.3%;1.7%;;;
2010.07.09 02:50:00;EUR;2;ECB President Trichet Speaks;;;;;;
2010.07.09 04:00:00;EUR;1;Italian Industrial Production m/m;0.9%;0.7%;1.0%;;;
2010.07.09 04:30:00;GBP;3;PPI Input m/m;-0.2%;0.1%;-0.2%;;;
2010.07.09 04:30:00;GBP;2;Goods Trade Balance;-7.4B;-7.1B;-8.1B;;;
2010.07.09 04:30:00;GBP;1;PPI Output m/m;0.1%;0.1%;-0.3%;;;
2010.07.09 07:00:00;CAD;3;Employment Change;24.7K;17.9K;93.2K;;;
2010.07.09 07:00:00;CAD;3;Unemployment Rate;8.1%;8.1%;7.9%;;;
2010.07.09 08:15:00;CAD;3;Housing Starts;195K;193K;189K;;;
2010.07.09 10:00:00;USD;1;Final Wholesale Inventories m/m;0.2%;0.4%;0.5%;;;
2010.07.09 22:34:00;CNY;3;USD-Denominated Trade Balance;19.5B;15.3B;20.0B;;;
2010.07.10 00:00:00;JPY;1;Upper House Elections (All Day);;;;;;
2010.07.11 13:24:00;CNY;2;New Loans;639B;601B;603B;;;
2010.07.11 13:24:00;CNY;1;M2 Money Supply y/y;21.0%;18.8%;18.5%;;;
2010.07.11 19:50:00;JPY;1;PPI y/y;0.5%;0.6%;0.5%;;;
2010.07.11 21:30:00;AUD;3;Home Loans m/m;-1.5%;0.7%;1.9%;;;
2010.07.12 00:00:00;EUR;2;Eurogroup Meetings (All Day);;;;;;
2010.07.12 04:30:00;GBP;3;Final GDP q/q;0.3%;0.3%;0.3%;;;
2010.07.12 04:30:00;GBP;2;Current Account;0.5B;-4.5B;-9.6B;;;
2010.07.12 04:30:00;GBP;1;Index of Services 3m/3m;0.3%;0.4%;0.6%;;;
2010.07.12 10:00:00;USD;3;Fed Chairman Bernanke Speaks;;;;;;
2010.07.12 10:30:00;CAD;3;BOC Business Outlook Survey;;;;;;
2010.07.12 17:15:00;USD;1;FOMC Member Duke Speaks;;;;;;
2010.07.12 18:45:00;NZD;1;FPI m/m;-0.7%;;1.3%;;;
2010.07.12 19:01:00;GBP;2;BRC Retail Sales Monitor y/y;0.8%;;1.2%;;;
2010.07.12 19:01:00;GBP;2;RICS House Price Balance;21%;20%;9%;;;
2010.07.12 21:30:00;AUD;2;NAB Business Confidence;5;;4;;;
2010.07.13 00:30:00;JPY;1;Revised Industrial Production m/m;-0.1%;-0.1%;0.1%;;;
2010.07.13 01:00:00;JPY;1;Consumer Confidence;42.8;42.4;43.5;;;
2010.07.13 02:00:00;EUR;1;German WPI m/m;0.3%;0.3%;-0.2%;;;
2010.07.13 02:45:00;EUR;1;French Final CPI m/m;0.1%;0.0%;0.0%;;;
2010.07.13 03:15:00;CHF;2;PPI m/m;0.3%;0.2%;-0.4%;;;
2010.07.13 03:15:00;EUR;2;ECOFIN Meetings (All Day);;;;;;
2010.07.13 04:30:00;GBP;3;CPI y/y;3.4%;3.2%;3.2%;;;
2010.07.13 04:30:00;GBP;2;Core CPI y/y;2.9%;2.7%;3.1%;;;
2010.07.13 04:30:00;GBP;1;RPI y/y;5.1%;4.9%;5.0%;;;
2010.07.13 04:34:00;GBP;1;ONS HPI y/y;10.1%;10.3%;11.0%;;;
2010.07.13 05:00:00;EUR;3;German ZEW Economic Sentiment;28.7;25.2;21.2;;;
2010.07.13 05:00:00;EUR;2;ZEW Economic Sentiment;18.8;16.8;10.7;;;
2010.07.13 05:00:00;GBP;1;CB Leading Index m/m;0.6%;;0.3%;;;
2010.07.13 07:30:00;USD;1;NFIB Small Business Index;92.2;91.3;89.0;;;
2010.07.13 08:30:00;CAD;3;Trade Balance;-0.3B;0.0B;-0.5B;;;
2010.07.13 08:30:00;GBP;2;MPC Member Sentance Speaks;;;;;;
2010.07.13 08:30:00;USD;3;Trade Balance;-40.3B;-39.3B;-42.3B;;;
2010.07.13 10:00:00;USD;1;IBD/TIPP Economic Optimism;46.2;45.9;44.7;;;
2010.07.13 10:00:00;USD;1;JOLTS Job Openings;3.30M;;3.21M;;;
2010.07.13 13:00:00;USD;2;10-y Bond Auction;3.24|3.2;;3.12|3.1;;;
2010.07.13 14:00:00;USD;2;Federal Budget Balance;-135.9B;-70.0B;-68.4B;;;
2010.07.13 18:00:00;NZD;2;REINZ HPI m/m;-1.4%;;0.6%;;;
2010.07.13 18:45:00;NZD;3;Core Retail Sales m/m;-0.1%;0.6%;-0.2%;;;
2010.07.13 18:45:00;NZD;2;Retail Sales m/m;-0.3%;0.6%;0.4%;;;
2010.07.13 19:01:00;GBP;2;Nationwide Consumer Confidence;66;63;63;;;
2010.07.13 20:30:00;AUD;2;Westpac Consumer Sentiment;-5.7%;;11.1%;;;
2010.07.14 00:00:00;EUR;0;French Bank Holiday (All Day);;;;;;
2010.07.14 04:30:00;GBP;3;Claimant Count Change;-31.1K;-20.1K;-20.8K;;;
2010.07.14 04:30:00;GBP;2;Average Earnings Index 3m/y;4.1%;3.1%;2.7%;;;
2010.07.14 04:30:00;GBP;1;Unemployment Rate;8.0%;7.9%;7.8%;;;
2010.07.14 05:00:00;EUR;2;Final CPI y/y;1.4%;1.4%;1.4%;;;
2010.07.14 05:00:00;EUR;2;Final Core CPI y/y;0.8%;0.9%;0.9%;;;
2010.07.14 05:00:00;EUR;2;Industrial Production m/m;0.9%;1.2%;0.9%;;;
2010.07.14 08:30:00;USD;3;Core Retail Sales m/m;-1.2%;-0.1%;-0.1%;;;
2010.07.14 08:30:00;USD;3;Retail Sales m/m;-1.1%;-0.2%;-0.5%;;;
