2022.06.01 02:00:00;EUR;1;German Retail Sales m/m;0.9%;-0.5%;-5.4%;;-0.1%;
2022.06.01 02:00:00;GBP;1;Nationwide HPI m/m;0.4%;0.6%;0.9%;;0.3%;
2022.06.01 02:30:00;AUD;1;Commodity Prices y/y;40.3%;;30.4%;;39.9%;
2022.06.01 03:15:00;EUR;1;Spanish Manufacturing PMI;53.3;51.9;53.8;;;
2022.06.01 03:30:00;CHF;1;Manufacturing PMI;62.5;61.2;60.0;;;
2022.06.01 03:45:00;EUR;1;Italian Manufacturing PMI;54.5;53.5;51.9;;;
2022.06.01 03:50:00;EUR;1;French Final Manufacturing PMI;54.5;54.5;54.6;;;
2022.06.01 03:55:00;EUR;1;German Final Manufacturing PMI;54.7;54.7;54.8;;;
2022.06.01 04:00:00;EUR;1;Final Manufacturing PMI;54.4;54.4;54.6;;;
2022.06.01 04:00:00;EUR;1;Italian Monthly Unemployment Rate;8.4%;8.3%;8.4%;;8.3%;
2022.06.01 04:30:00;GBP;1;Final Manufacturing PMI;54.6;54.6;54.6;;;
2022.06.01 05:00:00;EUR;1;Unemployment Rate;6.8%;6.8%;6.8%;;;
2022.06.01 07:00:00;EUR;2;ECB President Lagarde Speaks;;;;;;
2022.06.01 09:30:00;CAD;1;Manufacturing PMI;56.2;;56.8;;;
2022.06.01 09:45:00;USD;1;Final Manufacturing PMI;57.5;57.5;57.0;;;
2022.06.01 09:49:00;EUR;1;French Gov Budget Balance;-38.3B;;-67.3B;;;
2022.06.01 10:00:00;CAD;3;BOC Rate Statement;;;;;;
2022.06.01 10:00:00;CAD;3;Overnight Rate;1.00%;1.50%;1.50%;;;
2022.06.01 10:00:00;USD;3;ISM Manufacturing PMI;55.4;54.4;56.1;;;
2022.06.01 10:00:00;USD;3;JOLTS Job Openings;11.86M;11.29M;11.40M;;11.55M;
2022.06.01 10:00:00;USD;1;Construction Spending m/m;0.3%;0.7%;0.2%;;0.1%;
2022.06.01 10:00:00;USD;1;ISM Manufacturing Prices;84.6;80.6;82.2;;;
2022.06.01 10:00:00;USD;1;Wards Total Vehicle Sales (All Day);14.3M;13.6M;12.7M;;;
2022.06.01 11:30:00;USD;1;FOMC Member Williams Speaks;;;;;;
2022.06.01 13:00:00;USD;2;FOMC Member Bullard Speaks;;;;;;
2022.06.01 14:00:00;USD;1;Beige Book;;;;;;
2022.06.01 18:45:00;NZD;1;Overseas Trade Index q/q;-0.9%;1.3%;0.5%;;-1.0%;
2022.06.01 19:50:00;JPY;1;Monetary Base y/y;6.6%;2.3%;4.6%;;;
2022.06.01 19:50:00;CNY;0;Bank Holiday (All Day);;;;;;
2022.06.01 21:30:00;AUD;1;Retail Sales m/m;0.9%;0.9%;0.9%;;;
2022.06.01 21:30:00;AUD;1;Trade Balance;9.74B;9.02B;10.50B;;9.31B;
2022.06.01 23:35:00;JPY;1;10-y Bond Auction;0.25|5.7;;0.24|4.9;;;
2022.06.02 02:30:00;CHF;1;CPI m/m;0.4%;0.3%;0.7%;;;
2022.06.02 03:00:00;EUR;2;Spanish Unemployment Change;-86.3K;-33.5K;-99.5K;;;
2022.06.02 03:00:00;GBP;0;Bank Holiday (All Day);;;;;;
2022.06.02 03:00:00;EUR;0;Italian Bank Holiday (All Day);;;;;;
2022.06.02 04:48:00;EUR;1;Spanish 10-y Bond Auction;2.05|1.3;;2.15|2.0;;;
2022.06.02 04:56:00;EUR;1;French 10-y Bond Auction;1.51|1.8;;1.72|2.0;;;
2022.06.02 05:00:00;EUR;1;PPI m/m;5.3%;2.3%;1.2%;;;
2022.06.02 05:00:00;All;2;OPEC-JMMC Meetings (All Day);;;;;;
2022.06.02 07:30:00;USD;1;Challenger Job Cuts y/y;6.0%;;-15.8%;;;
2022.06.02 08:15:00;USD;3;ADP Non-Farm Employment Change;202K;295K;128K;;247K;
2022.06.02 08:30:00;CAD;1;Building Permits m/m;-6.3%;0.5%;-0.6%;;-9.3%;
2022.06.02 08:30:00;USD;2;Unemployment Claims;211K;210K;200K;;210K;
2022.06.02 08:30:00;USD;1;Revised Nonfarm Productivity q/q;-7.5%;-7.5%;-7.3%;;;
2022.06.02 08:30:00;USD;1;Revised Unit Labor Costs q/q;11.6%;11.6%;12.6%;;;
2022.06.02 10:00:00;USD;1;Factory Orders m/m;1.8%;0.8%;0.3%;;2.2%;
2022.06.02 10:30:00;USD;1;Natural Gas Storage;80B;86B;90B;;;
2022.06.02 10:45:00;CAD;1;Gov Council Member Beaudry Speaks;;;;;;
2022.06.02 11:00:00;USD;1;Crude Oil Inventories;-1.0M;-3.0M;-5.1M;;;
2022.06.02 13:00:00;USD;2;FOMC Member Mester Speaks;;;;;;
2022.06.02 18:30:00;AUD;1;AIG Construction Index;55.9;;50.4;;;
2022.06.03 02:00:00;EUR;1;German Trade Balance;1.9B;5.6B;3.5B;;3.2B;
2022.06.03 02:45:00;EUR;1;French Industrial Production m/m;-0.4%;0.2%;-0.1%;;-0.5%;
2022.06.03 02:45:00;GBP;0;Bank Holiday (All Day);;;;;;
2022.06.03 03:15:00;EUR;1;Spanish Services PMI;57.1;56.0;56.5;;;
2022.06.03 03:45:00;EUR;1;Italian Services PMI;55.7;54.6;53.7;;;
2022.06.03 03:50:00;EUR;1;French Final Services PMI;58.4;58.4;58.3;;;
2022.06.03 03:55:00;EUR;1;German Final Services PMI;56.3;56.3;55.0;;;
2022.06.03 04:00:00;EUR;1;Final Services PMI;56.3;56.3;56.1;;;
2022.06.03 05:00:00;EUR;1;Retail Sales m/m;0.3%;0.3%;-1.3%;;-0.4%;
2022.06.03 08:30:00;CAD;1;Labor Productivity q/q;-0.6%;-0.5%;-0.5%;;-0.5%;
2022.06.03 08:30:00;USD;3;Average Hourly Earnings m/m;0.3%;0.4%;0.3%;;;
2022.06.03 08:30:00;USD;3;Non-Farm Employment Change;436K;325K;390K;;428K;
