2011.09.01 01:45:00;CHF;3;GDP q/q;0.6%;0.4%;0.4%;;;
2011.09.01 02:00:00;EUR;1;German Final GDP q/q;0.1%;0.1%;0.1%;;;
2011.09.01 02:00:00;GBP;3;Nationwide HPI m/m;0.3%;0.1%;-0.6%;;;
2011.09.01 02:30:00;AUD;2;Commodity Prices y/y;28.9%;;25.2%;;;
2011.09.01 03:15:00;CHF;3;Retail Sales y/y;7.9%;4.6%;1.9%;;;
2011.09.01 03:15:00;EUR;2;Spanish Manufacturing PMI;45.6;;45.3;;;
2011.09.01 03:30:00;CHF;2;Manufacturing PMI;53.5;51.1;51.7;;;
2011.09.01 03:45:00;EUR;2;Italian Manufacturing PMI;50.1;49.2;47.0;;;
2011.09.01 03:50:00;EUR;1;French Final Manufacturing PMI;49.3;49.4;49.1;;;
2011.09.01 03:55:00;EUR;1;German Final Manufacturing PMI;52.0;52.0;50.9;;;
2011.09.01 04:00:00;EUR;1;Final Manufacturing PMI;49.7;49.7;49.0;;;
2011.09.01 04:15:00;GBP;2;MPC Member Fisher Speaks;;;;;;
2011.09.01 04:30:00;GBP;3;Final Manufacturing PMI;49.4;48.9;49.0;;;
2011.09.01 05:02:00;EUR;2;French 10-y Bond Auction;3.49|1.9;;2.90|1.3;;;
2011.09.01 05:37:00;GBP;2;10-y Bond Auction;3.51|2.2;;2.76|2.0;;;
2011.09.01 08:30:00;USD;3;Unemployment Claims;421K;409K;409K;;;
2011.09.01 08:30:00;USD;2;Revised Nonfarm Productivity q/q;-0.3%;-0.4%;-0.7%;;;
2011.09.01 08:30:00;USD;1;Revised Unit Labor Costs q/q;2.2%;2.3%;3.3%;;;
2011.09.01 09:30:00;CAD;1;Manufacturing PMI;53.1;;54.9;;;
2011.09.01 10:00:00;USD;3;ISM Manufacturing PMI;50.9;48.7;50.6;;;
2011.09.01 10:00:00;USD;1;Construction Spending m/m;1.6%;0.2%;-1.3%;;;
2011.09.01 10:00:00;USD;1;ISM Manufacturing Prices;59.0;55.1;55.5;;;
2011.09.01 10:30:00;USD;1;Natural Gas Storage;73B;61B;55B;;;
2011.09.01 10:30:00;USD;1;Total Vehicle Sales (All Day);12.2M;12.1M;12.1M;;;
2011.09.01 12:00:00;USD;1;FOMC Member Duke Speaks;;;;;;
2011.09.01 19:50:00;JPY;2;Capital Spending q/y;3.3%;1.1%;-7.8%;;;
2011.09.01 19:50:00;JPY;1;Monetary Base y/y;15.0%;14.2%;15.9%;;;
2011.09.02 03:00:00;EUR;2;Spanish Unemployment Change;-42.1K;;51.2K;;;
2011.09.02 04:30:00;GBP;3;Construction PMI;53.5;52.9;52.6;;;
2011.09.02 05:00:00;EUR;1;PPI m/m;0.0%;0.6%;0.5%;;;
2011.09.02 08:30:00;USD;3;Non-Farm Employment Change;85K;74K;0K;;;
2011.09.02 08:30:00;USD;3;Unemployment Rate;9.1%;9.1%;9.1%;;;
2011.09.02 08:30:00;USD;2;Average Hourly Earnings m/m;0.5%;0.2%;-0.1%;;;
2011.09.02 21:00:00;CNY;1;Non-Manufacturing PMI;59.6;;57.6;;;
2011.09.04 19:25:00;AUD;2;AIG Services Index;48.8;;52.1;;;
2011.09.04 20:30:00;AUD;1;MI Inflation Gauge m/m;0.3%;;-0.1%;;;
2011.09.04 21:30:00;AUD;2;ANZ Job Advertisements m/m;-0.6%;;-0.6%;;;
2011.09.04 21:30:00;AUD;2;Company Operating Profits q/q;-2.2%;3.1%;6.7%;;;
2011.09.04 22:30:00;CNY;1;Caixin Services PMI;53.5;;50.6;;;
2011.09.05 03:15:00;EUR;1;Spanish Services PMI;46.5;;45.2;;;
2011.09.05 03:45:00;EUR;1;Italian Services PMI;48.6;48.4;48.4;;;
2011.09.05 03:50:00;EUR;1;French Final Services PMI;56.1;56.1;56.8;;;
2011.09.05 03:55:00;EUR;1;German Final Services PMI;50.4;50.4;51.1;;;
2011.09.05 04:00:00;EUR;1;Final Services PMI;51.5;51.5;51.5;;;
2011.09.05 04:30:00;EUR;1;Sentix Investor Confidence;-13.5;-17.5;-15.4;;;
2011.09.05 04:30:00;GBP;3;Final Services PMI;55.4;54.3;51.1;;;
2011.09.05 05:00:00;EUR;2;Retail Sales m/m;0.7%;0.1%;0.2%;;;
2011.09.05 05:00:00;CAD;0;Bank Holiday (All Day);;;;;;
2011.09.05 05:00:00;USD;0;Bank Holiday (All Day);;;;;;
2011.09.05 19:01:00;GBP;2;BRC Retail Sales Monitor y/y;0.6%;;-0.6%;;;
2011.09.05 21:30:00;AUD;3;Home Loans m/m;0.6%;1.6%;1.0%;;;
2011.09.05 21:30:00;AUD;2;Current Account;-11.1B;-7.3B;-7.4B;;;
2011.09.05 23:45:00;JPY;1;30-y Bond Auction;2.09|3.7;;2.01|3.6;;;
2011.09.06 00:30:00;AUD;3;Cash Rate;4.75%;4.75%;4.75%;;;
2011.09.06 00:30:00;AUD;3;RBA Rate Statement;;;;;;
2011.09.06 03:00:00;CHF;3;Foreign Currency Reserves;182B;;253B;;;
2011.09.06 03:15:00;CHF;2;CPI m/m;-0.8%;-0.1%;-0.3%;;;
2011.09.06 05:00:00;EUR;1;Revised GDP q/q;0.2%;0.2%;0.2%;;;
2011.09.06 06:00:00;EUR;2;German Factory Orders m/m;1.8%;-1.4%;-2.8%;;;
2011.09.06 10:00:00;USD;3;ISM Services PMI;52.7;51.2;53.3;;;
2011.09.06 10:30:00;NZD;1;GDT Price Index;-1.3%;;-0.7%;;;
2011.09.06 13:10:00;USD;2;FOMC Member Kocherlakota Speaks;;;;;;
2011.09.06 19:00:00;GBP;1;BRC Shop Price Index y/y;2.8%;;2.7%;;;
2011.09.06 19:22:00;AUD;1;AIG Construction Index;36.1;;32.1;;;
2011.09.06 19:30:00;AUD;3;RBA Gov Stevens Speaks;;;;;;
2011.09.06 21:30:00;AUD;3;GDP q/q;-0.9%;1.0%;1.2%;;;
2011.09.06 23:21:00;JPY;3;Monetary Policy Statement;;;;;;
2011.09.06 23:21:00;JPY;3;Overnight Call Rate;<0.10%;<0.10%;<0.10%;;;
2011.09.07 01:02:00;JPY;1;Leading Indicators;103.3%;105.9%;106.0%;;;
2011.09.07 03:00:00;GBP;3;Halifax HPI m/m;0.2%;0.5%;-1.2%;;;
2011.09.07 03:17:00;JPY;3;BOJ Press Conference;;;;;;
2011.09.07 04:00:00;EUR;3;German Constitutional Court Ruling;;;;;;
2011.09.07 04:30:00;GBP;3;Manufacturing Production m/m;-0.4%;0.1%;0.1%;;;
2011.09.07 04:30:00;GBP;1;Industrial Production m/m;0.0%;0.0%;-0.2%;;;
2011.09.07 06:00:00;EUR;2;German Industrial Production m/m;-1.0%;0.6%;4.0%;;;
2011.09.07 09:00:00;CAD;3;BOC Rate Statement;;;;;;
2011.09.07 09:00:00;CAD;3;Overnight Rate;1.00%;1.00%;1.00%;;;
2011.09.07 10:00:00;CAD;3;Ivey PMI;46.8;46.7;56.4;;;
2011.09.07 10:00:00;GBP;2;NIESR GDP Estimate;0.6%;;0.2%;;;
2011.09.07 10:00:00;USD;1;JOLTS Job Openings;3.17M;;3.23M;;;
2011.09.07 11:15:00;USD;2;FOMC Member Evans Speaks;;;;;;
2011.09.07 14:00:00;USD;2;Beige Book;;;;;;
2011.09.07 19:50:00;JPY;2;Core Machinery Orders m/m;7.7%;-3.9%;-8.2%;;;
2011.09.07 19:50:00;JPY;1;Bank Lending y/y;-0.6%;;-0.5%;;;
2011.09.07 19:50:00;JPY;1;Current Account;0.92T;0.99T;0.75T;;;
2011.09.07 21:30:00;AUD;3;Employment Change;-4.1K;10.7K;-9.7K;;;
2011.09.07 21:30:00;AUD;3;Unemployment Rate;5.1%;5.1%;5.3%;;;
2011.09.08 01:00:00;JPY;2;BOJ Monthly Report;;;;;;
2011.09.08 01:00:00;JPY;1;Economy Watchers Sentiment;52.6;54.3;47.3;;;
2011.09.08 01:30:00;EUR;1;French Final Private Payrolls q/q;0.4%;0.4%;0.2%;;;
2011.09.08 01:45:00;CHF;1;Unemployment Rate;3.0%;3.0%;3.0%;;;
2011.09.08 02:00:00;EUR;1;German Trade Balance;11.5B;11.0B;10.1B;;;
2011.09.08 02:00:00;JPY;1;Prelim Machine Tool Orders y/y;34.6%;;15.3%;;;
2011.09.08 02:45:00;EUR;1;French Trade Balance;-5.4B;-5.8B;-6.5B;;;
2011.09.08 07:00:00;GBP;3;Asset Purchase Facility;200B;200B;200B;;;
2011.09.08 07:00:00;GBP;3;Official Bank Rate;0.50%;0.50%;0.50%;;;
2011.09.08 07:45:00;EUR;3;Main Refinancing Rate;1.50%;1.50%;1.50%;;;
2011.09.08 08:30:00;CAD;3;Building Permits m/m;2.8%;0.2%;-0.6%;;;
2011.09.08 08:30:00;CAD;3;Trade Balance;-1.4B;-0.8B;-0.8B;;;
2011.09.08 08:30:00;CAD;2;NHPI m/m;0.3%;0.4%;0.1%;;;
2011.09.08 08:30:00;EUR;3;ECB Press Conference;;;;;;
2011.09.08 08:30:00;USD;3;Trade Balance;-51.6B;-50.6B;-44.8B;;;
2011.09.08 08:30:00;USD;3;Unemployment Claims;412K;407K;414K;;;
2011.09.08 10:30:00;USD;1;Natural Gas Storage;55B;60B;64B;;;
2011.09.08 11:00:00;USD;2;Crude Oil Inventories;5.3M;-1.9M;-4.0M;;;
2011.09.08 13:30:00;USD;3;Fed Chairman Bernanke Speaks;;;;;;
