2011.10.01 12:00:00;AUD;0;Daylight Saving Time Shift;;;;;;
2011.10.02 00:00:00;AUD;0;Bank Holiday (All Day);;;;;;
2011.10.02 18:25:00;AUD;1;AIG Manufacturing Index;43.3;;42.3;;;
2011.10.02 19:30:00;AUD;1;MI Inflation Gauge m/m;-0.1%;;0.1%;;;
2011.10.02 19:50:00;JPY;3;Tankan Manufacturing Index;-9;2;2;;;
2011.10.02 19:50:00;JPY;2;Tankan Non-Manufacturing Index;-5;3;1;;;
2011.10.02 19:50:00;CNY;0;Bank Holiday (All Day);;;;;;
2011.10.02 20:00:00;NZD;1;ANZ Commodity Prices m/m;-1.4%;;-1.3%;;;
2011.10.02 21:00:00;CNY;1;Non-Manufacturing PMI;57.6;;59.3;;;
2011.10.02 22:30:00;CNY;1;Caixin Services PMI;50.6;;53.0;;;
2011.10.03 00:00:00;EUR;0;German Bank Holiday (All Day);;;;;;
2011.10.03 03:15:00;CHF;3;Retail Sales y/y;2.9%;4.5%;-1.9%;;;
2011.10.03 03:15:00;EUR;2;Spanish Manufacturing PMI;45.3;;43.7;;;
2011.10.03 03:30:00;CHF;2;Manufacturing PMI;51.7;50.3;48.2;;;
2011.10.03 03:45:00;EUR;2;Italian Manufacturing PMI;47.0;46.5;48.3;;;
2011.10.03 03:50:00;EUR;1;French Final Manufacturing PMI;47.3;47.3;48.2;;;
2011.10.03 03:55:00;EUR;1;German Final Manufacturing PMI;50.0;50.0;50.3;;;
2011.10.03 04:00:00;EUR;1;Final Manufacturing PMI;48.4;48.4;48.5;;;
2011.10.03 04:00:00;EUR;2;Eurogroup Meetings (All Day);;;;;;
2011.10.03 04:30:00;GBP;3;Final Manufacturing PMI;49.4;48.9;51.1;;;
2011.10.03 04:30:00;GBP;1;FPC Meeting Minutes;;;;;;
2011.10.03 09:30:00;CAD;1;Manufacturing PMI;54.9;;55.0;;;
2011.10.03 10:00:00;USD;3;ISM Manufacturing PMI;50.6;50.5;51.6;;;
2011.10.03 10:00:00;USD;1;Construction Spending m/m;-1.4%;-0.1%;1.4%;;;
2011.10.03 10:00:00;USD;1;ISM Manufacturing Prices;55.5;54.3;56.0;;;
2011.10.03 10:00:00;USD;1;Total Vehicle Sales (All Day);12.1M;12.3M;13.1M;;;
2011.10.03 17:00:00;NZD;3;NZIER Business Confidence;27;;25;;;
2011.10.03 19:50:00;JPY;1;Monetary Base y/y;15.9%;16.3%;16.7%;;;
2011.10.03 19:50:00;CNY;0;Bank Holiday (All Day);;;;;;
2011.10.03 20:30:00;AUD;3;Building Approvals m/m;1.8%;1.1%;11.4%;;;
2011.10.03 20:30:00;AUD;3;Trade Balance;1.82B;2.14B;3.10B;;;
2011.10.03 21:30:00;JPY;2;Average Cash Earnings y/y;-0.2%;0.7%;-0.6%;;;
2011.10.03 23:30:00;AUD;3;Cash Rate;4.75%;4.75%;4.75%;;;
2011.10.03 23:30:00;AUD;3;RBA Rate Statement;;;;;;
2011.10.03 23:45:00;JPY;1;10-y Bond Auction;1.08|3.0;;1.00|3.2;;;
2011.10.04 01:30:00;AUD;2;Commodity Prices y/y;25.1%;;26.6%;;;
2011.10.04 03:00:00;EUR;2;Spanish Unemployment Change;51.2K;;95.8K;;;
2011.10.04 03:00:00;EUR;2;ECOFIN Meetings (All Day);;;;;;
2011.10.04 04:30:00;GBP;3;Construction PMI;52.6;51.7;50.1;;;
2011.10.04 04:30:00;GBP;2;MPC Member Miles Speaks;;;;;;
2011.10.04 05:00:00;EUR;1;PPI m/m;0.5%;-0.2%;-0.1%;;;
2011.10.04 05:40:00;GBP;2;10-y Bond Auction;2.76|2.0;;2.24|1.8;;;
2011.10.04 09:00:00;EUR;3;ECB President Trichet Speaks;;;;;;
2011.10.04 09:00:00;USD;2;FOMC Member Raskin Speaks;;;;;;
